path,name_ar,kind,account_manager,vendor,description,description_ar,stage,target_date,target,ADT,Medication Prescribe V1,Medication Prescribe V2,Medication Dispense V1,Medication Dispense V2,Radiology Order,Radiology Report,Lab Order,Lab Results,Clinical Notes
UHR > Demo Slice,الشريحة التجريبية,Programme,Aziz,,"DEMO DATA — a small slice, sized to be deleted. Every organization, vendor and person below this node is invented. Delete this one branch to reset the workspace before the real structure is imported.",بيانات تجريبية — شريحة صغيرة يسهل حذفها. جميع المنشآت والموردين والأشخاص أدناه غير حقيقيين، ويُحذف هذا الفرع بالكامل قبل استيراد الهيكل الفعلي.,,,,,,,,,,,,,
UHR > Demo Slice > Associate Directorate Alpha,الإدارة المساعدة ألفا,Programme,,,"The larger of the two directorates: two account books and 48 organizations, most of them in build.",الأكبر بين الإدارتين: محفظتا حسابات و48 منشأة، معظمها قيد البناء.,,2027-02-28,30,,,,,,,,,,
UHR > Demo Slice > Associate Directorate Alpha > Account Book One,محفظة الحسابات الأولى,,Aziz,,"26 organizations, managed end to end by one account manager.",26 منشأة يديرها مدير حساب واحد.,,2026-08-12,15,,,,,,,,,,
UHR > Demo Slice > Associate Directorate Alpha > Account Book One > Rawd Maternity Hospital,,Organization,Aziz,Demo Vendor Alpha,,,Kickoff,,,planned,,,,,,,planned,,planned
UHR > Demo Slice > Associate Directorate Alpha > Account Book One > Wafa Community Hospital,,Organization,Aziz,Demo Vendor Alpha,310-bed community hospital serving the coastal catchment. On the list for this year; no work has started.,,Not started,,,planned,planned,,,planned,,,planned,planned,planned
UHR > Demo Slice > Associate Directorate Alpha > Account Book One > Falak General Hospital,,Organization,Aziz,Demo Vendor Beta,185-bed general hospital serving the coastal catchment. Interfaces are being built against the sandbox.,,Integrating,2026-07-22,,,,,,,,,,,
UHR > Demo Slice > Associate Directorate Alpha > Account Book One > Shafaq Community Hospital,مستشفى شفق المجتمعي,Organization,Aziz,Demo Vendor Alpha,"570-bed community hospital serving the western catchment. Live since the last release window, with support in hypercare.",منشأة بسعة 570 سريراً تخدم النطاق الغربي. دخل الإنتاج في نافذة الإصدار الأخيرة.,Live,,,live,,,,,,,live,,live
UHR > Demo Slice > Associate Directorate Alpha > Account Book One > Firuz General Hospital,مستشفى فيروز العام,Organization,Aziz,Demo Vendor Delta,92-bed general hospital serving the inland catchment. In integration testing with the vendor.,منشأة بسعة 92 سريراً تخدم النطاق الداخلي. اختبار القبول جارٍ مع الفريق السريري.,"Testing/UAT",,,testing,,,,,,,,,live
UHR > Demo Slice > Associate Directorate Alpha > Account Book One > Jawhara Community Hospital,,Organization,Aziz,Demo Vendor Beta,"253-bed community hospital serving the southern catchment. Contracted, with no integration work scheduled.",,,,,,,,,,,,,,
UHR > Demo Slice > Associate Directorate Alpha > Account Book One > Kadi Clinic,,Organization,Aziz,Demo Vendor Beta,16-room clinic serving the inland catchment. Testing is complete on the first two capabilities and continuing on the rest.,,"Testing/UAT",,,,,,,,,,,,
