path,name_ar,kind,account_manager,vendor,description,description_ar,stage,target_date,target,ADT,Medication Prescribe V1,Medication Prescribe V2,Medication Dispense V1,Medication Dispense V2,Radiology Order,Radiology Report,Lab Order,Lab Results,Clinical Notes
UHR > Demo Portfolio,المحفظة التجريبية,Programme,Abdulaziz Alsaloom,,"DEMO DATA. Every organization, vendor and person below this node is invented. Delete this one branch to reset the workspace before the real structure is imported.",بيانات تجريبية. جميع المنشآت والموردين والأشخاص أدناه غير حقيقيين، ويُحذف هذا الفرع بالكامل قبل استيراد الهيكل الفعلي.,,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha,الإدارة المساعدة ألفا,Programme,,,"The larger of the two directorates: three account books, and the sites that came in with the first onboarding wave.",الأكبر بين الإدارتين: ثلاث محافظ حسابات، والمنشآت التي انضمت في موجة التأهيل الأولى.,,2027-06-30,120,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One,محفظة الحسابات الأولى,,Abdulaziz Alsaloom,,"104 organizations, managed end to end by one account manager.",104 منشأة يديرها مدير حساب واحد.,,2026-12-31,45,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Hospitals,المستشفيات,,,,21 hospitals in account book one.,,,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Hospitals > Bahar Maternity Hospital,مستشفى بهار للولادة,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,,,Go-live readiness,2026-12-13,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Hospitals > Sadaf General Hospital,مستشفى صدف العام,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,,,Integrating & Testing,,,testing,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Hospitals > Jumana Community Hospital,مستشفى جمانة المجتمعي,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,,,Integrating & Testing,2027-04-09,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Hospitals > Wafeer Maternity Hospital,مستشفى وفير للولادة,Organization,Abdulaziz Alsaloom,Demo Vendor Beta,428-bed maternity hospital serving the southern catchment. Onboarding agreed and nothing has begun. Volumes are seasonal and the go-live window avoids the peak.,منشأة بسعة 428 سريراً تخدم النطاق الجنوبي. مدرج ضمن خطة هذا العام ولم يبدأ بعد.,Not started,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Hospitals > Diya Specialist Hospital,مستشفى ضياء التخصصي,Organization,Abdulaziz Alsaloom,Demo Vendor Delta,,,UAT,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Hospitals > Nudar Specialist Hospital,,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,,,,,,planned,,,,,planned,,planned,planned,planned
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Hospitals > Zumurrud General Hospital,,Organization,Abdulaziz Alsaloom,Demo Vendor Beta,,,Integrating & Testing,2027-03-06,,testing,,,,,,,,,planned
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Hospitals > Dhikra Maternity Hospital,مستشفى ذكرى للولادة,Organization,Abdulaziz Alsaloom,Demo Vendor Beta,86-bed maternity hospital serving the northern catchment. Kickoff done and the technical contacts are named on both sides.,منشأة بسعة 86 سريراً تخدم النطاق الشمالي. اكتمل اجتماع الانطلاق وحُددت جهات الاتصال الفنية.,Kickoff,,,planned,,,,planned,planned,planned,planned,planned,planned
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Hospitals > Ward Specialist Hospital,,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,,,Live,,,live,live,live,live,live,live,live,live,live,live
