path,name_ar,kind,account_manager,vendor,description,description_ar,stage,target_date,target,ADT,Medication Prescribe V1,Medication Prescribe V2,Medication Dispense V1,Medication Dispense V2,Radiology Order,Radiology Report,Lab Order,Lab Results,Clinical Notes,XDRADO,XDLABO,XDDOCS,Vital Signs,Encounter History
UHR (Unified Health Record) > Onboarding > Abeer Medical Group,,Organization,Dema Alkassim,,,,Kickoff,,,planned,,planned,,planned,planned,planned,planned,planned,planned,,,,,
UHR (Unified Health Record) > Onboarding > Al edwani Hospital,,Organization,Dema Alkassim,,,,Integrating & Testing,,,live,,,,,,,testing,testing,,,,,,
UHR (Unified Health Record) > Product > Al Emies Group,,Organization,Hind Almubaraki,,,,Integrating & Testing,,,testing,planned,,planned,,planned,planned,planned,testing,planned,,,,,
UHR (Unified Health Record) > Business Operations > Al Hamra Hospital,,Organization,Khalid Alghamdi,,,,Integrating & Testing,,,testing,,,,,,,,,,,,,,
UHR (Unified Health Record) > IT Delivery > Al Hasa,,Organization,Shatha Alhuwaytan,,,,Live,,,live,live,,live,,,,,,,,,,,
UHR (Unified Health Record) > Onboarding > Al Hayat Group Hospital,,Organization,,,,,Integrating & Testing,,,testing,planned,,planned,,planned,planned,testing,live,planned,,,,,
UHR (Unified Health Record) > Onboarding > Al jazeera hospital,,Organization,Dema Alkassim,,,,Kickoff,,,,planned,,planned,,planned,planned,planned,planned,planned,,,,,
UHR (Unified Health Record) > IT Delivery > Al Madinah,,Organization,Shatha Alhuwaytan,,,,Integrating & Testing,,,,,,testing,,,,,,,,,,,
UHR (Unified Health Record) > Onboarding > Al Madinah Cluster,,Organization,Riam Alnasser,,,,Integrating & Testing,,,,,,,,,,,,testing,live,live,,,
UHR (Unified Health Record) > Product > AL Salam Khobar Hospital,,Organization,Hind Almubaraki,,,,Live,,,live,live,,live,,live,live,live,live,live,,,,,
UHR (Unified Health Record) > IT Integration > AL Salama Hospital,,Organization,Sara Alsaab,,,,Integrating & Testing,,,,planned,,planned,,,live,,,planned,,,,,
UHR (Unified Health Record) > Onboarding > Al Zafer Hospital,,Organization,Shatha Alhuwaytan,,,,Live,,,,live,,,,,,,,,,,,,
UHR (Unified Health Record) > IT Integration > Al Zafer Hospital in Najran,,Organization,Sara Alsaab,,,,Integrating & Testing,,,,testing,,planned,,planned,planned,planned,planned,planned,,,,,
UHR (Unified Health Record) > IT Integration > Al-anwar hospital,,Organization,,,,,Integrating & Testing,,,live,,,,,,,planned,planned,,,,,,
UHR (Unified Health Record) > IT Integration > Al-Nahdi Pharmacy,,Organization,Omar Almohsen,,,,Kickoff,,,,,,,planned,,,,,,,,,,
UHR (Unified Health Record) > IT Integration > Al-Zobaidi Medical Group,,Organization,Sara Alsaab,,,,Kickoff,,,planned,planned,,planned,,planned,planned,planned,planned,planned,,,,,
UHR (Unified Health Record) > IT Integration > Alahli Hospital,,Organization,Sara Alsaab,,,,Integrating & Testing,,,testing,,,,,,,,,,,,,,
UHR (Unified Health Record) > Product > Alahsa,,Organization,Hind Almubaraki,,,,Integrating & Testing,,,,,,,,testing,planned,testing,,planned,,,,,live
UHR (Unified Health Record) > Business Operations > Alansari Hospital,,Organization,Khalid Almutairi,,,,Integrating & Testing,,,testing,,,,,,,,,,,,,,
UHR (Unified Health Record) > IT Integration > Alfalah Hospital,,Organization,Sara Alsaab,,,,Integrating & Testing,,,testing,,planned,,planned,planned,planned,planned,planned,planned,,,,,
UHR (Unified Health Record) > Business Operations > AlHammadi Hospital,,Organization,Riam Alnasser,,,,Integrating & Testing,,,live,testing,,testing,,testing,testing,testing,testing,planned,,,,,
UHR (Unified Health Record) > Onboarding > Aljadaani (SAFA) Hospital,,Organization,Dema Alkassim,,,,Integrating & Testing,,,,planned,,planned,,,,,,,planned,planned,planned,,testing
UHR (Unified Health Record) > Business Operations > AlJazirah Hospital,,Organization,Khalid Alghamdi,,,,Integrating & Testing,,,testing,,,,,,,,,,,,,,
UHR (Unified Health Record) > Onboarding > Aljedaani Hospital,,Organization,Dema Alkassim,,,,Integrating & Testing,,,,,testing,,testing,,,testing,testing,,,,,,
UHR (Unified Health Record) > IT Delivery > AlJouf,,Organization,Riam Alnasser,,,,Integrating & Testing,,,,,,testing,,,,,,,live,live,live,,
UHR (Unified Health Record) > IT Integration > Almana Hospital,,Organization,,,,,Integrating & Testing,,,,planned,,planned,,planned,planned,testing,testing,planned,,,,,
UHR (Unified Health Record) > IT Integration > Almodawah Hospital,,Organization,Sara Alsaab,,,,Integrating & Testing,,,testing,planned,,planned,,planned,planned,planned,planned,planned,,,,,
UHR (Unified Health Record) > Onboarding > Almousa Hospital,,Organization,Shatha Alhuwaytan,,,,Integrating & Testing,,,testing,,testing,,testing,testing,testing,testing,testing,testing,,,,,
UHR (Unified Health Record) > Onboarding > Alnahda Hospital,,Organization,Dema Alkassim,,,,Kickoff,,,,,planned,,planned,planned,planned,planned,planned,planned,,,,,planned
UHR (Unified Health Record) > Onboarding > Aloysif Hospital,,Organization,Shatha Alhuwaytan,,,,Integrating & Testing,,,,,,,,testing,,,,,,,,,
UHR (Unified Health Record) > Business Operations > Alsaedy Hospital,,Organization,,,,,Integrating & Testing,,,live,,,,,testing,planned,planned,testing,,,,,,testing
UHR (Unified Health Record) > Onboarding > Alsaedy Hospital(CDA),,Organization,Dema Alkassim,,,,Integrating & Testing,,,,,,,,,,testing,,,,,,,
UHR (Unified Health Record) > Business Operations > AlSalama (Murgan)Hospital,,Organization,Riam Alnasser,,,,Integrating & Testing,,,,,,,,,,,testing,,,,,,
UHR (Unified Health Record) > Business Operations > AlSalama (Murjan) Hospital,,Organization,Riam Alnasser,,,,Integrating & Testing,,,,,,,,testing,testing,live,,,,,,,
UHR (Unified Health Record) > Onboarding > Alyosif Hospital,,Organization,Shatha Alhuwaytan,,,,Integrating & Testing,,,testing,,,,,,,testing,testing,,,,,,
UHR (Unified Health Record) > Business Operations > AlYousif,,Organization,,,,,Integrating & Testing,,,,testing,,testing,,,testing,,,testing,,,,,
UHR (Unified Health Record) > Onboarding > AlZahra Madinah Hospital,,Organization,Dema Alkassim,,,,Kickoff,,,,,planned,,planned,planned,planned,planned,planned,planned,,,,,
UHR (Unified Health Record) > IT Integration > AlZahra Qatif Hospital,,Organization,Lama Alsmay,,,,Kickoff,,,,,,,,planned,planned,planned,planned,,,,,,
UHR (Unified Health Record) > Business Operations > Alzahraa General Hospital (Qatif),,Organization,Khalid Almutairi,,,,Integrating & Testing,,,testing,,,,,,,,,,,,,,
UHR (Unified Health Record) > Product > Andalusia,,Organization,Hind Almubaraki,,,,Kickoff,,,planned,,,,,,,,,,,,,,
UHR (Unified Health Record) > Onboarding > Anfas,,Organization,Dema Alkassim,,,,Integrating & Testing,,,testing,planned,planned,,planned,planned,planned,planned,planned,planned,,,,,
UHR (Unified Health Record) > Business Operations > Arrawdah General Hospital,,Organization,Riam Alnasser,,,,Integrating & Testing,,,testing,,,,,,,,,,,,,,
